4 1 %.1f %.0f %.3f
p1 p2 p3 p4 o
4 2 1 0 1
8 5 7 3 3
4.6	3.1	1.5	0.2	1
5	3.6	1.4	0.2	1
5.4	3.9	1.7	0.4	1
4.8	3.1	1.6	0.2	1
5.4	3.4	1.5	0.4	1
5.2	4.1	1.5	0.1	1
4.3	3	1.1	0.1	1
5.8	4	1.2	0.2	1
6.9	3.1	4.9	1.5	2
5.5	2.3	4	1.3	2
6.5	2.8	4.6	1.5	2
6.1	2.9	4.7	1.4	2
6.6	3	4.4	1.4	2
6.3	2.5	4.9	1.5	2
6.8	2.8	4.8	1.4	2
6	2.9	4.5	1.5	2
6.5	3	5.8	2.2	3
7.6	3	6.6	2.1	3
4.9	2.5	4.5	1.7	3
7.3	2.9	6.3	1.8	3
5.8	2.7	5.1	1.9	3
6.8	3.2	5.9	2.3	3
6.7	3.3	5.7	2.5	3
6.7	3.3	5.7	2.1	3
7.2	3.6	6.1	2.5	3
